Title,Author,Year
Goosebumps - Ghost Beach,Robert Lawrence Stine,First published in 1994
Tower of Dawn,Sarah J. Maas,First published in 2017
Rinkitink in Oz,L. Frank Baum,First published in 1916
When the wind blows,James Patterson,First published in 1847
Crown of Midnight,Sarah J. Maas,First published in 2013
Wolf-Speaker,Tamora Pierce,First published in 1994
Sylvie and Bruno,Lewis Carroll,First published in 1889
A Dog's Purpose: A Novel for Humans,W. Bruce Cameron,First published in 2010
Last Argument of Kings,Joe Abercrombie,First published in 2008
Colorless tsukuru tazaki and his years of pilgrimage,村上春樹,First published in 2013
Fool moon,Jim Butcher,First published in 2001
Peppa Pig: Peppa's Australian Underwater Adventure,Peppa Pig,First published in 2012
"Le Pays des contes, Tome 2: Le retour de l'enchanteresse",Chris Colfer,First published in 2013
Where the Mountain Meets the Moon,Grace Lin,First published in 2009
Imperium burz,Sarah J. Maas,First published in 2016
Tithe: A Modern Faerie Tale,Holly Black,First published in 2002
Amari and the Night Brothers,B. B. Alston,First published in 2021
Jumanji,Chris Van Allsburg,First published in 1981
The Trials of Apollo: 2. The Dark Prophecy,Rick Riordan,First published in 2017
Before They are Hanged,Joe Abercrombie,First published in 2007
Fire & Blood,George R. R. Martin,First published in 2018
The Screaming Staircase,Jonathan Stroud,First published in 2013
Gathering Storm,Robert Jordan,First published in 2009
Feed,M. T. Anderson,First published in 2002
Mattimeo: Redwall #3,Brian Jacques,First published in 1989
Children of Blood and Bone,Tomi Adeyemi,First published in 2017
Court of Frost and Starlight,Sarah J. Maas,First published in 2014
Sylvester and Magic P -Op/46,William Steig,First published in 1969
Piranesi,Susanna Clarke,First published in 2019
Graceling,Kristin Cashore,First published in 2008
"Bone 1, Out From Boneville",Jeff Smith,First published in 1993
Exile: Keeper of the Lost Cities #2,Shannon Messenger,First published in 2012
Homeland,R. A. Salvatore,First published in 1990
Shadows of Self,Brandon Sanderson,First published in 2015
Crooked Kingdom,Leigh Bardugo,First published in 2016
Who fears death,Nnedi Okorafor,First published in 2010
Lockwood & Co: The Hollow Boy,Jonathan Stroud,First published in 2015
Mister Monday,Garth Nix,First published in 2003
The Beasts of Tarzan,Edgar Rice Burroughs,First published in 1916
Queen of Shadows,Sarah J. Maas,First published in 2015
Eon,Greg Bear,First published in 1985
The Assassin’s Blade: Throne of Glass Novellas,Sarah J. Maas,First published in 2014
The Sparrow: A Novel,Mary Doria Russell,First published in 1996
The Complete Adventures of Charlie and Willy Wonka,Roald Dahl,First published in 1978
Battle Royale: remastered,Kōshun Takami,First published in 1999
The foot book: Dr. Seuss's wacky book of opposites,Dr. Seuss,First published in 1968
Siege and Storm,Leigh Bardugo,First published in 2013
Dawn,Octavia E. Butler,First published in 1987
The Blade Itself,Joe Abercrombie,First published in 2001
The pilot: a tale of the sea,James Fenimore Cooper,First published in 1823
Outlander,Diana Gabaldon,First published in 1991
Yertle the turtle and other stories,Dr. Seuss,First published in 1958
The firework-maker's daughter,Philip Pullman,First published in 1995
The Girl Who Drank the Moon,Kelly Regan Barnhill,First published in 2016
Ninth House,Leigh Bardugo,First published in 2019
Blood of Elves,Andrzej Sapkowski,First published in 1994
Percy Jackson and the Greek Gods,Rick Riordan,First published in 2014
The Hammer of Thor,Rick Riordan,First published in 2015
American fairy tales,L. Frank Baum,First published in 1901
"A house-boat on the Styx, being some account of the divers doings of the associated shades",John Kendrick Bangs,First published in 1895
Kingdom of Ash,Sarah J. Maas,First published in 2018
A Court of Wings and Ruin,Sarah J. Maas,First published in 2017
Steelheart,Brandon Sanderson,First published in 2001
The lies of Locke Lamora,Scott Lynch,First published in 2001
House in the Cerulean Sea,T. J. Klune,First published in 2019
The blue fairy book,Andrew Lang,First published in 1889
War Storm,Victoria Aveyard,First published in 2018
Midnight for Charlie Bone,Jenny Nimmo,First published in 2002
Quicksilver: Volume One of The Baroque Cycle,Neal Stephenson,First published in 2003
Anatema,Neal Stephenson,First published in 2008
Warbreaker,Brandon Sanderson,First published in 2009
The Fourth Apprentice,Erin Hunter,First published in 2009
House of Earth and Blood,Sarah J. Maas,First published in 2019
"Midnight (Warriors: The New Prophecy, Book 1)",Erin Hunter,First published in 2005
Puss in boots,Charles Perrault,First published in 1865
Grave peril,Jim Butcher,First published in 2001
Little Wizard stories of Oz,L. Frank Baum,First published in 1914
Horton hears a Who!,Dr. Seuss,First published in 1954
"The Long Way to a Small, Angry Planet",Becky Chambers,First published in 2014
Crenshaw,Katherine Applegate,First published in 2015
"Little, big",John Crowley,First published in 1981
Catwings,Ursula K. Le Guin,First published in 1988
If I ran the zoo,Dr. Seuss,First published in 1950
Flashback,Shannon Messenger,First published in 2012
Dragonbone Chair,Tad Williams,First published in 1988
House of Many Ways,Diana Wynne Jones,First published in 2008
The Cruel Prince,Holly Black,First published in 2018
The Kingdom of Fantasy,Elisabetta Dami,First published in 2005
Memnoch the Devil,Anne Rice,First published in 1995
Parable of the talents: a novel,Octavia E. Butler,First published in 1998
"Batman, the Dark Knight returns",Frank Miller,First published in 1986
My Teacher Is an Alien,Bruce Coville,First published in 1989
The Stonekeeper,Kazu Kibuishi,First published in 2008
"Oh, the Thinks You Can Think!",Dr. Seuss,First published in 1975
Shadow of Night: A Novel,Deborah E. Harkness,First published in 2012
The Darkest Hour (Warrior Cats),Erin Hunter,First published in 2004
Bienvenidos a Occidente,Mohsin Hamid,First published in 2017
The Cloud Searchers (Amulet Book 3),Kazu Kibuishi,First published in 2008
Replay,Ken Grimwood,First published in 1986
"Ben and me: a new and astonishing life of Benjamin Franklin as written by his good mouse, Amos",Robert Lawson,First published in 1923
Sunset,Erin Hunter,First published in 2006
The Magic Faraway Tree,Enid Blyton,First published in 1943
Use of weapons,Iain M. Banks,First published in 1990
Dinotopia: A Land Apart from Time,James Gurney,First published in 1992
The Starless Sea,Erin Morgenstern,First published in 2019
A Darker Shade of Magic Collector's Edition: A Novel,V. E. Schwab,First published in 2015
A Court of Silver Flames,Sarah J. Maas,First published in 2021
The red fairy book,Andrew Lang,First published in 1890
The City of Brass,S. A. Chakraborty,First published in 2017
Nightfall: Keeper of the Lost Cities #6,Shannon Messenger,First published in 2017
Bone,Jeff Smith,First published in 1995
The Complete Harry Potter Collection (Books 1-7),J. K. Rowling,First published in 1999
Tuesday,David Wiesner,First published in 1987
R.L. Stine's dangerous girls,Robert Lawrence Stine,First published in 2003
The Siren,Kiera Cass,First published in 2009
The Dark Tower VII: The Dark Tower,Stephen King,First published in 1990
Eclipse,Erin Hunter,First published in 2008
Moonrise,Erin Hunter,First published in 2005
The Magicians,Lev Grossman,First published in 2009
Oathbringer: The Stormlight Archive Book Three,Brandon Sanderson,First published in 2017
The Crystal Shard,R. A. Salvatore,First published in 1988
The knife of never letting go,Patrick Ness,First published in 2008
Ship of Magic,Robin Hobb,First published in 1998
Men in love: men's sexual fantasies : the triumph of love over rage,Nancy Friday,First published in 1980
The Sandman: preludes & nocturnes : volume I,Neil Gaiman,First published in 1991
The Bartimaeus Trilogy: Book Two: The Golem's Eye,Jonathan Stroud,First published in 2004
Dragon Ball Z.,Akira Toriyama,First published in 2002
Lapvona: A Novel,Ottessa Moshfegh,First published in 2022
Charmed Life: Chrestomanci #1,Diana Wynne Jones,First published in 1977
"Amulet, Book Two: The Stonekeeper's Curse",Kazu Kibuishi,First published in 2009
Dragonsdawn-Open Markt,Anne McCaffrey,First published in 1988
Magnus Chase: The Ship of the Dead,Rick Riordan,First published in 2017
Among others,Jo Walton,First published in 2011
Vicious,V. E. Schwab,First published in 2013
Red Queen: the Official Coloring Book,Victoria Aveyard,First published in 2015
Annihilation,Jeff VanderMeer,First published in 2014
Every day,David Levithan,First published in 2012
Fablehaven,Brandon Mull,First published in 2006
Fantastic Beasts and Where to Find Them: The Original Screenplay,J. K. Rowling,First published in 2001
Midnight Library: A Novel,Matt Haig,First published in 2020
The Fifth Season,N. K. Jemisin,First published in 2015
Dealing with Dragons,Patricia C. Wrede,First published in 1990
Warriors: Power of Three #5: Long Shadows,Erin Hunter,First published in 2008
The Hundred Thousand Kingdoms,N. K. Jemisin,First published in 2010
One Piece 1,Eiichiro Oda,First published in 1997
Moon called,Patricia Briggs,First published in 2005
The brothers Lionheart,Astrid Lindgren,First published in 1973
The Time Keeper,Mitch Albom,First published in 2011
Babel : Or the Necessity of Violence: an Arcane History of the Oxford Translators' Revolution,R. F. Kuang,First published in 2022
Royal assassin,Robin Hobb,First published in 1996
Snuff: a novel of Discworld,Terry Pratchett,First published in 2011
The Trials of Apollo: The Tower of Nero,Rick Riordan,First published in 2020
The Buried Giant,Kazuo Ishiguro,First published in 1900
An ember in the ashes: a novel,Sabaa Tahir,First published in 2015
Farmer Giles of Ham,J.R.R. Tolkien,First published in 1949
Legends and Lattes,Travis Baldree,First published in 2022
The Windup Girl,Paolo Bacigalupi,First published in 2009
Blood of the Fold (The Sword of Truth),Terry Goodkind,First published in 1996
Big Nate in the Zone,David walliams,First published in 2007
The Trials of Apollo: 3. The Burning Maze,Rick Riordan,First published in 2014
Rhythm of War: Book Four of The Stormlight Archive,Brandon Sanderson,First published in 2020
The Wicked King,Holly Black,First published in 2019
King of Scars,Leigh Bardugo,First published in 2019
Rewards and fairies,Rudyard Kipling,First published in 1910
Winter King,Bernard Cornwell,First published in 1995
The LAST VAMPIRE (LAST VAMPIRE 1): THE LAST VAMPIRE,Christopher Pike,First published in 1994
Miss Peregrine's Home for Peculiar Children,Ransom Riggs,First published in 2011
Pippi Longstocking in the South Seas,Astrid Lindgren,First published in 1957
Serpent and the Wings of Night,Carissa Broadbent,First published in 2022
Minecraft: The Island,Max Brooks,First published in 2017
The magic in the weaving,Tamora Pierce,First published in 1997
Moonfleet,John Meade Falkner,First published in 1951
The Poppy War,R. F. Kuang,First published in 2018
Bluestar's prophecy,Erin Hunter,First published in 2009
Salute to adventurers,John Buchan,First published in 1900
Tercer viaje al reino de la Fantasia,Elisabetta Dami,First published in 2008
Lockwood & Co.: The Whispering Skull,Jonathan Stroud,First published in 2014
The People of Sparks: Book of Ember #2,Jeanne DuPrau,First published in 2004
Tales from Earthsea,Ursula K. Le Guin,First published in 2001
Swan song,Robert R. McCammon,First published in 1978
The Hour of the Dragon,Robert E. Howard,First published in 1977
Everblaze,Shannon Messenger,First published in 2014
Lodestar: Keeper of the Lost Cities #5,Shannon Messenger,First published in 2016
The Emperor's Soul,Brandon Sanderson,First published in 2012
The Enchanted Isle of Yew,L. Frank Baum,First published in 1903
Flora & Ulysses: the illuminated adventures,Kate DiCamillo,First published in 2013
Mistral's kiss: a novel,Laurell K. Hamilton,First published in 2006
Firestar's Quest,Erin Hunter,First published in 2007
The curse of Chalion,Lois McMaster Bujold,First published in 1991
